Unnamed: 0,Title,id,rating,genres,Release year,Overview
20,Code 8 Part II,932420,R,Science Fiction;Action;Crime,2024,"In a world where superpowered people are heavily policed by robots, an ex-con teams up with a drug lord he despises to protect a teen from a corrupt cop."
21,Air Force One Down,1124127,R,Action;Thriller,2024,"On her first assignment aboard Air Force One, a rookie Secret Service agent faces the ultimate test when terrorists hijack the plane, intent on derailing a pivotal energy deal. With the President's life on the line and a global crisis at stake, her bravery and skills are pushed to the limit in a relentless battle that could change the course of history."
22,Wish,1022796,PG,Animation;Family;Fantasy;Adventure,2023,"Asha, a sharp-witted idealist, makes a wish so powerful that it is answered by a cosmic force – a little ball of boundless energy called Star. Together, Asha and Star confront a most formidable foe - the ruler of Rosas, King Magnifico - to save her community and prove that when the will of one courageous human connects with the magic of the stars, wondrous things can happen."
23,Fast X,385687,PG-13,Action;Crime;Thriller,2023,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever."
24,Anyone But You,1072790,R,Romance;Comedy,2023,"After an amazing first date, Bea and Ben’s fiery attraction turns ice cold — until they find themselves unexpectedly reunited at a destination wedding in Australia. So they do what any two mature adults would do: pretend to be a couple."
25,Civil War,929590,R,War;Action;Drama,2024,"In the near future, a group of war journalists attempt to survive while reporting the truth as the United States stands on the brink of civil war."
26,Godzilla: King of the Monsters,373571,PG-13,Science Fiction;Action,2019,"Follows the heroic efforts of the crypto-zoological agency Monarch as its members face off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah. When these ancient super-species, thought to be mere myths, rise again, they all vie for supremacy, leaving humanity's very existence hanging in the balance."
27,The Shawshank Redemption,278,R,Drama;Crime,1994,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope."
28,The Marvels,609681,PG-13,Science Fiction;Adventure;Action,2023,"Carol Danvers, aka Captain Marvel, has reclaimed her identity from the tyrannical Kree and taken revenge on the Supreme Intelligence. But unintended consequences see Carol shouldering the burden of a destabilized universe. When her duties send her to an anomalous wormhole linked to a Kree revolutionary, her powers become entangled with that of Jersey City super-fan Kamala Khan, aka Ms. Marvel, and Carol’s estranged niece, now S.A.B.E.R. astronaut Captain Monica Rambeau. Together, this unlikely trio must team up and learn to work in concert to save the universe."
29,Ghostbusters: Frozen Empire,967847,PG-13,Fantasy;Adventure;Comedy,2024,"When the discovery of an ancient artifact unleashes an evil force, Ghostbusters new and old must join forces to protect their home and save the world from a second Ice Age."
30,Barbie,346698,PG-13,Comedy;Adventure,2023,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans."
31,Freelance,897087,R,Action;Comedy,2023,"An ex-special forces operative takes a job to provide security for a journalist as she interviews a dictator, but a military coup breaks out in the middle of the interview, they are forced to escape into the jungle where they must survive."
32,Baghead,845783,PG-13,Horror,2023,"Following the death of her estranged father, Iris learns she has inherited a run-down, centuries-old pub. She travels to Berlin to identify her father’s body and meet with The Solicitor to discuss the estate. Little does she know, when the deed is signed she will become inextricably tied to an unspeakable entity that resides in the pub’s basement – Baghead – a shape-shifting creature that can transform into the dead."
33,The Batman,414906,PG-13,Crime;Mystery;Thriller,2022,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler."
34,The American Society of Magical Negroes,1039773,PG-13,Fantasy;Comedy,2024,"A young man, Aren, is recruited into a secret society of magical Black people who dedicate their lives to a cause of utmost importance: making white people’s lives easier."
35,Godzilla,124905,PG-13,Action;Drama;Science Fiction,2014,"Ford Brody, a Navy bomb expert, has just reunited with his family in San Francisco when he is forced to go to Japan to help his estranged father, Joe. Soon, both men are swept up in an escalating crisis when an ancient alpha predator arises from the sea to combat malevolent adversaries that threaten the survival of humanity. The creatures leave colossal destruction in their wake, as they make their way toward their final battleground: San Francisco."
36,The Beekeeper,866398,R,Crime;Action;Thriller,2024,One man's campaign for vengeance takes on national stakes after he is revealed to be a former operative of a powerful and clandestine organization known as Beekeepers.
37,The Super Mario Bros. Movie,502356,PG,Animation;Family;Adventure;Fantasy;Comedy,2023,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi."
38,Aquaman and the Lost Kingdom,572802,PG-13,Action;Adventure;Fantasy,2023,"Black Manta seeks revenge on Aquaman for his father's death. Wielding the Black Trident's power, he becomes a formidable foe. To defend Atlantis, Arthur (Aquaman) forges an alliance with his imprisoned brother. They must protect the kingdom."
39,Napoleon,753342,R,History;War;Romance,2023,"An epic that details the checkered rise and fall of French Emperor Napoleon Bonaparte and his relentless journey to power through the prism of his addictive, volatile relationship with his wife, Josephine."
40,Spider-Man: No Way Home,634649,PG-13,Action;Adventure;Science Fiction,2021,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man."
41,Avengers: Infinity War,299536,PG-13,Adventure;Action;Science Fiction,2018,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain."
42,Transformers: Rise of the Beasts,667538,PG-13,Science Fiction;Adventure;Action,2023,"When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth."
43,The Flash,298618,PG-13,Adventure;Action;Science Fiction,2023,"When his attempt to save his family inadvertently alters the future, Barry Allen becomes trapped in a reality in which General Zod has returned and there are no Super Heroes to turn to. In order to save the world that he is in and return to the future that he knows, Barry's only hope is to race for his life. But will making the ultimate sacrifice be enough to reset the universe?"
44,Avatar: The Way of Water,76600,PG,Science Fiction;Adventure;Action,2022,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure."
45,xXx,7451,PG-13,Action;Adventure;Thriller;Crime,2002,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi."
46,The Thundermans Return,1094556,G,Family;Science Fiction;Action;Comedy,2024,"Twins Phoebe and Max are enjoying their superhero lifestyle, but when one 'save' goes awry, the Thundermans are sent back to Hiddenville. While Hank and Barb enjoy their return, and Billy and Nora look forward to a normal high school life, Max and Phoebe are determined to regain their superhero status."
47,Elemental,976573,PG,Animation;Comedy;Family;Fantasy;Romance,2023,"In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common."
48,The Zone of Interest,467244,PG-13,Drama;History,2023,"The commandant of Auschwitz, Rudolf Höss, and his wife Hedwig, strive to build a dream life for their family in a house and garden next to the camp."
49,Ruthless,984249,R,Action;Thriller,2023,"A high school coach, whose teenage daughter was murdered, takes matters into his own hands by going after the men who kidnap his students for their sex trafficking operation."
50,The Hunger Games: The Ballad of Songbirds & Snakes,695721,PG-13,Drama;Science Fiction;Action,2023,"64 years before he becomes the tyrannical president of Panem, Coriolanus Snow sees a chance for a change in fortunes when he mentors Lucy Gray Baird, the female tribute from District 12."
51,Kong: Skull Island,293167,PG-13,Action;Adventure;Fantasy,2017,"Explore the mysterious and dangerous home of the king of the apes as a team of explorers ventures deep inside the treacherous, primordial island."
52,The Family Plan,1029575,PG-13,Action;Comedy,2023,"Dan Morgan is many things: a devoted husband, a loving father, a celebrated car salesman. He's also a former assassin. And when his past catches up to his present, he's forced to take his unsuspecting family on a road trip unlike any other."
53,The Weapon,1081620,R,Action,2023,"Dallas is a one-man killing machine on a mysterious rampage. His attacks on biker gangs and meth labs anger the Vegas mob boss who’s holding Dallas’ girlfriend hostage. But who is Dallas working for? Even torture won’t make him talk, and he won’t stop until justice is served."
54,Spider-Man: Across the Spider-Verse,569094,PG,Animation;Action;Adventure;Science Fiction,2023,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most."
55,Kung Fu Panda,9502,PG,Action;Adventure;Animation;Family;Comedy,2008,"When the Valley of Peace is threatened, lazy Po the panda discovers his destiny as the ""chosen one"" and trains to become a kung fu hero, but transforming the unsleek slacker into a brave warrior won't be easy. It's up to Master Shifu and the Furious Five -- Tigress, Crane, Mantis, Viper and Monkey -- to give it a try."
56,Puss in Boots: The Last Wish,315162,PG,Animation;Adventure;Fantasy;Comedy;Family,2022,"Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives."
57,John Wick: Chapter 4,603692,R,Action;Thriller;Crime,2023,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes."
58,Ghostbusters,43074,PG-13,Action;Fantasy;Comedy,2016,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat."
59,Deadpool,293660,R,Action;Adventure;Comedy,2016,"The origin story of former Special Forces operative turned mercenary Wade Wilson, who, after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life."
60,Aquaman,297802,PG-13,Action;Adventure;Fantasy,2018,"Half-human, half-Atlantean Arthur Curry is taken on the journey of his lifetime to discover if he is worth of being a king."
61,Turning Red,508947,PG,Animation;Family;Comedy;Fantasy,2022,"Thirteen-year-old Mei is experiencing the awkwardness of being a teenager with a twist – when she gets too excited, she transforms into a giant red panda."
62,Inside Out,150540,PG,Animation;Family;Adventure;Drama;Comedy,2015,"When 11-year-old Riley moves to a new city, her Emotions team up to help her through the transition. Joy, Fear, Anger, Disgust and Sadness work together, but when Joy and Sadness get lost, they must journey through unfamiliar places to get back home."
63,Thor: Ragnarok,284053,PG-13,Action;Adventure;Science Fiction,2017,"Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his home-world and the end of Asgardian civilization, at the hands of a powerful new threat, the ruthless Hela."
64,The Maze Runner,198663,PG-13,Action;Mystery;Science Fiction;Thriller,2014,"Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow “runners” for a shot at escape."
65,The Masked Saint,370464,PG-13,Crime;Action,2016,"The journey of a professional wrestler who becomes a small town pastor and moonlights as a masked vigilante fighting injustice. While facing crises at home and at the church, the Pastor must evade the police and somehow reconcile his violent secret identity with his calling as a pastor."
66,Interstellar,157336,PG-13,Adventure;Drama;Science Fiction,2014,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.
67,Bird Box,405774,R,Horror;Thriller;Drama,2018,"Five years after an ominous unseen presence drives most of society to suicide, a survivor and her two children make a desperate bid to reach safety."
68,X,760104,R,Horror;Mystery;Thriller,2022,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives."
69,Bob Marley: One Love,802219,PG-13,Music;History;Drama,2024,Jamaican singer-songwriter Bob Marley overcomes adversity to become the most famous reggae musician in the world.
71,Wonder Woman,297762,PG-13,Action;Adventure;Fantasy,2017,An Amazon princess comes to the world of Man in the grips of the First World War to confront the forces of evil and bring an end to human conflict.
72,Joker,475557,R,Crime;Thriller;Drama,2019,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure."
73,Inception,27205,PG-13,Action;Science Fiction;Adventure,2010,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious."
74,The Creator,670292,PG-13,Action;Adventure;Science Fiction,2023,"Amid a future war between the human race and the forces of artificial intelligence, a hardened ex-special forces agent grieving the disappearance of his wife, is recruited to hunt down and kill the Creator, the elusive architect of advanced AI who has developed a mysterious weapon with the power to end the war—and mankind itself."
75,Ordinary Angels,974036,PG,Drama,2024,"In Louisville, Kentucky, hairdresser Sharon Stevens rallies the masses to help widowed father Ed Schmitt save his critically ill 5 year old daughter Michelle after their community is hit by a major snowstorm from the 1994 North American cold wave."
76,Expend4bles,299054,R,Action;Adventure;Thriller,2023,"Armed with every weapon they can get their hands on and the skills to use them, The Expendables are the world’s last line of defense and the team that gets called when all other options are off the table. But new team members with new styles and tactics are going to give “new blood” a whole new meaning."
77,Coach Carter,7214,PG-13,Drama;History,2005,"Based on a true story, in which Richmond High School head basketball coach Ken Carter made headlines in 1999 for benching his undefeated team due to poor academic results."
78,Spider-Man: Into the Spider-Verse,324857,PG,Animation;Action;Adventure;Science Fiction,2018,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension."
79,PAW Patrol: The Mighty Movie,893723,PG,Animation;Family;Action;Science Fiction;Comedy;Drama;Adventure,2023,"A magical meteor crash lands in Adventure City and gives the PAW Patrol pups superpowers, transforming them into The Mighty Pups."
81,The Matrix,603,R,Action;Science Fiction,1999,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth."
82,Mission: Impossible - Dead Reckoning Part One,575264,PG-13,Action;Adventure,2023,"Ethan Hunt and his IMF team embark on their most dangerous mission yet: To track down a terrifying new weapon that threatens all of humanity before it falls into the wrong hands. With control of the future and the world's fate at stake and dark forces from Ethan's past closing in, a deadly race around the globe begins. Confronted by a mysterious, all-powerful enemy, Ethan must consider that nothing can matter more than his mission—not even the lives of those he cares about most."
83,Iron Man 2,10138,PG-13,Adventure;Action;Science Fiction,2010,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies."
85,Rebel Moon - Part One: A Child of Fire,848326,PG-13,Science Fiction;Drama;Action;War,2023,"When the ruthless forces of the Motherworld threaten a quiet farming village on a distant moon, a mysterious outsider becomes its best hope for survival."
86,To Your Last Death,366171,R,Animation;Horror,2019,"In order to save her siblings, a young woman takes on her father and the powerful entity known as Gamemaster, who ensnares humans into diabolical plots while her species gambles on the outcome."
87,Kung Fu Panda 3,140300,PG,Action;Adventure;Animation;Comedy;Family,2016,"While Po and his father are visiting a secret panda village, an evil spirit threatens all of China, forcing Po to form a ragtag army to fight back."
88,Drive-Away Dolls,957304,R,Comedy;Crime,2024,"Jamie, an uninhibited free spirit bemoaning yet another breakup with a girlfriend, and her demure friend Marian desperately needs to loosen up. In search of a fresh start, the two embark on an impromptu road trip to Tallahassee, but things quickly go awry when they cross paths with a group of inept criminals along the way."
89,Trolls Band Together,901362,PG,Animation;Family;Music;Fantasy;Comedy,2023,"When Branch's brother, Floyd, is kidnapped for his musical talents by a pair of nefarious pop-star villains, Branch and Poppy embark on a harrowing and emotional journey to reunite the other brothers and rescue Floyd from a fate even worse than pop-culture obscurity."
90,Kung Fu Panda 2,49444,PG,Animation;Family;Comedy,2011,"Po and his friends fight to stop a peacock villain from conquering China with a deadly new weapon, but first the Dragon Warrior must come to terms with his past."
91,Charlie and the Chocolate Factory,118,PG,Adventure;Comedy;Family;Fantasy,2005,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker."
92,The Casagrandes Movie,1216512,PG,Animation;Comedy;Family,2024,"On a birthday trip to Mexico, 12-year-old Ronnie Anne accidentally frees a demigod trapped in a mountain and needs her family's help to set things right."
93,The Hill,862557,PG,History;Drama,2023,"The story of Rickey Hill, who overcomes his physical disability and repairs his relationship with his father in a quest to become a major league baseball (MLB) player."
94,Arthur the King,618588,PG-13,Adventure;Drama,2024,"Over the course of ten days and 435 miles, an unbreakable bond is forged between pro adventure racer Michael Light and a scrappy street dog companion dubbed Arthur. As the team is pushed to their outer limits of endurance in the race, Arthur redefines what victory, loyalty and friendship truly mean."
95,Música,968441,PG-13,Romance;Comedy;Music,2024,"A young man, plagued by the music in his head, has to come to terms with an uncertain future while balancing love, family and Brazilian culture in Newark, New Jersey."
96,The Lord of the Rings: The Fellowship of the Ring,120,PG-13,Adventure;Fantasy;Action,2001,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed."
97,Black Panther,284054,PG-13,Action;Adventure;Science Fiction,2018,"King T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantle to join with ex-girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war."
98,Black Adam,436270,PG-13,Action;Adventure;Science Fiction,2022,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world."
99,Orion and the Dark,1139829,PG,Animation;Family;Comedy;Fantasy,2024,"A boy with an active imagination faces his fears on an unforgettable journey through the night with his new friend: a giant, smiling creature named Dark."
100,Guardians of the Galaxy Vol. 3,447365,PG-13,Science Fiction;Adventure;Action,2023,"Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them."
101,Pulp Fiction,680,R,Thriller;Crime,1994,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time."
102,Captain Marvel,299537,PG-13,Action;Adventure;Science Fiction,2019,"The story follows Carol Danvers as she becomes one of the universe’s most powerful heroes when Earth is caught in the middle of a galactic war between two alien races. Set in the 1990s, Captain Marvel is an all-new adventure from a previously unseen period in the history of the Marvel Cinematic Universe."
103,Fifty Shades of Grey,216015,R,Drama;Romance;Thriller,2015,"When college senior Anastasia Steele steps in for her sick roommate to interview prominent businessman Christian Grey for their campus paper, little does she realize the path her life will take. Christian, as enigmatic as he is rich and powerful, finds himself strangely drawn to Ana, and she to him. Though sexually inexperienced, Ana plunges headlong into an affair -- and learns that Christian's true sexual proclivities push the boundaries of pain and pleasure."
104,Leo,1075794,PG,Animation;Comedy;Family,2023,"Jaded 74-year-old lizard Leo has been stuck in the same Florida classroom for decades with his terrarium-mate turtle. When he learns he only has one year left to live, he plans to escape to experience life on the outside but instead gets caught up in the problems of his anxious students — including an impossibly mean substitute teacher."
105,Lift,955916,PG-13,Action;Comedy;Crime,2024,"An international heist crew, led by Cyrus Whitaker, race to lift $500 million in gold from a passenger plane at 40,000 feet."
106,The Judge,205587,R,Drama,2014,"A successful lawyer returns to his hometown for his mother's funeral only to discover that his estranged father, the town's judge, is suspected of murder."
107,Blade Runner 2049,335984,R,Science Fiction;Drama,2017,"Thirty years after the events of the first film, a new blade runner, LAPD Officer K, unearths a long-buried secret that has the potential to plunge what's left of society into chaos. K's discovery leads him on a quest to find Rick Deckard, a former LAPD blade runner who has been missing for 30 years."
108,Five Nights at Freddy's,507089,PG-13,Horror;Mystery,2023,"Recently fired and desperate for work, a troubled young man named Mike agrees to take a position as a night security guard at an abandoned theme restaurant: Freddy Fazbear's Pizzeria. But he soon discovers that nothing at Freddy's is what it seems."
109,Ghostbusters: Afterlife,425909,PG-13,Fantasy;Comedy;Adventure;Science Fiction,2021,"When single mom Callie and her two kids Trevor and Phoebe arrive in a small Oklahoma town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind."
110,King Kong,254,PG-13,Adventure;Drama;Action,2005,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady."
112,Miller's Girl,1026436,R,Thriller;Comedy;Drama,2024,A talented young writer embarks on a creative odyssey when her teacher assigns a project that entangles them both.
113,Split,381288,PG-13,Horror;Thriller,2017,"Though Kevin has evidenced 23 personalities to his trusted psychiatrist, Dr. Fletcher, there remains one still submerged who is set to materialize and dominate all the others. Compelled to abduct three teenage girls led by the willful, observant Casey, Kevin reaches a war for survival among all of those contained within him — as well as everyone around him — as the walls between his compartments shatter apart."
114,Tenet,577922,PG-13,Action;Thriller;Science Fiction,2020,"Armed with only one word - Tenet - and fighting for the survival of the entire world, the Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time."
115,Meg 2: The Trench,615656,PG-13,Action;Science Fiction;Horror,2023,An exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival.
116,Due Justice,982940,R,Action;Thriller;Crime,2023,An attorney with a military past hunts down the gang who killed his wife and took his daughter.
117,Harry Potter and the Prisoner of Azkaban,673,PG,Adventure;Fantasy,2004,"Year three at Hogwarts means new fun and challenges as Harry learns the delicate art of approaching a Hippogriff, transforming shape-shifting Boggarts into hilarity and even turning back time. But the term also brings danger: soul-sucking Dementors hover over the school, an ally of the accursed He-Who-Cannot-Be-Named lurks within the castle walls, and fearsome wizard Sirius Black escapes Azkaban. And Harry will confront them all."
118,Deadpool 2,383498,PG-13,Action;Comedy;Adventure,2018,Wisecracking mercenary Deadpool battles the evil and powerful Cable and other bad guys to save a boy's life.
119,Killers of the Flower Moon,466420,R,Crime;History;Drama,2023,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one—until the FBI steps in to unravel the mystery."
